id	rate
01001	52
01003	98
01007	0
01009	367
01013	40
01015	11
01017	1
01019	57
01021	138
01025	44
01027	2
01029	6
01031	22
01037	21
01039	15
01043	31
01045	24
01047	63
01049	140
01051	55
01053	3
01055	107
01059	35
01061	34
01063	37
01065	29
01067	11
01069	85
01073	467
01077	27
01079	57
01081	394
01083	82
01085	35
01089	256
01091	29
01093	25
01095	34
01097	103
01099	37
01101	104
01103	59
01109	18
01113	39
01117	75
01115	212
01121	97
01123	21
01125	156
01127	91
01129	35
01131	47
04003	196
04005	77
04009	4
04011	0
04012	30
04013	914
04017	55
04019	385
04021	202
04025	191
04027	99
05007	65
05001	7
05003	15
05005	43
05009	141
05011	6
05013	3
05015	32
05017	2
05019	21
05021	4
05023	54
05025	7
05027	24
05029	11
05031	28
05033	73
05035	93
05037	22
05039	4
05043	16
05045	91
05047	44
05049	11
05051	290
05053	43
05055	18
05057	26
05059	35
05061	10
05063	134
05065	22
05067	21
05069	62
05071	19
05075	8
05077	9
05079	15
05081	8
05083	35
05085	82
05087	17
05089	41
05091	14
05093	29
05095	2
05101	22
05103	28
05105	43
05109	3
05111	2
05113	28
05115	62
05117	3
05119	319
05121	17
05125	124
05127	13
05129	8
05131	45
05133	20
05123	11
05137	22
05139	41
05141	35
05143	167
05145	116
05147	0
05149	25
06001	347
06003	6
06005	39
06007	118
06009	124
06011	23
06013	205
06015	74
06017	200
06019	1054
06021	32
06023	177
06025	139
06027	73
06029	1739
06031	121
06033	145
06035	36
06037	4249
06039	383
06041	46
06043	67
06045	278
06047	489
06049	15
06051	12
06053	203
06055	46
06057	66
06059	179
06061	193
06063	102
06065	580
06067	1720
06069	28
06071	673
06073	1072
06077	586
06079	319
06081	176
06083	180
06085	251
06087	204
06089	434
06091	14
06093	43
06095	72
06097	441
06099	283
06101	74
06103	142
06105	53
06107	241
06109	104
06111	121
06113	41
06115	164
08001	325
08003	4
08005	145
08007	15
08009	1
08011	4
08013	56
08015	0
08017	1
08019	14
08021	5
08025	3
08027	6
08029	2
08033	4
08035	184
08037	19
08041	278
08043	24
08045	21
08047	3
08051	2
08053	3
08057	0
08059	141
08063	5
08067	26
08065	3
08069	133
08073	1
08075	4
08077	118
08081	2
08083	18
08085	5
08087	9
08089	8
08093	13
08095	3
08097	2
08099	2
08101	26
08103	0
08105	2
08107	1
08109	4
08111	0
08113	6
08117	8
08119	5
08121	2
08123	84
10003	699
12001	381
12003	105
12005	290
12007	69
12009	607
12011	265
12013	16
12015	321
12017	255
12019	279
12021	703
12023	158
12027	78
12029	65
12033	1141
12035	176
12037	16
12039	56
12043	25
12045	33
12047	22
12049	36
12051	78
12053	286
12055	206
12057	1374
12059	52
12061	190
12063	72
12065	75
12067	13
12069	382
12071	931
12073	312
12075	392
12077	1
12079	117
12081	1042
12083	520
12085	205
12086	4248
12087	142
12089	111
12091	454
12093	99
12095	3388
12097	666
12099	1328
12101	1047
12103	462
12105	1086
12107	200
12113	127
12115	390
12117	495
12109	297
12111	175
12119	208
12121	133
12123	170
12125	33
12127	424
12129	44
12131	146
12133	24
13245	438
13009	239
13011	47
13015	278
13017	24
13019	8
13021	427
13023	11
13025	28
13027	31
13029	85
13031	17
13033	52
13035	80
13037	4
13039	20
13045	124
13047	59
13049	11
13055	21
13057	79
13059	0
13061	4
13063	5
13063	700
