id	rate
01001	
01003	
01007	
01009	
01013	
01015	
01017	
01019	
01021	
01025	
01027	
01029	
01031	
01037	
01039	
01043	
01045	
01047	
01049	
01051	
01053	
01055	
01059	
01061	
01063	
01065	
01067	
01069	
01073	31
01077	
01079	
01081	
01083	
01085	
01089	
01091	
01093	
01095	
01097	
01099	
01101	
01103	
01109	
01113	
01117	
01115	
01121	
01123	
01125	
01127	
01129	
01131	
04003	0
04005	20
04009	13
04011	0
04012	0
04013	77
04017	6
04019	69
04021	10
04025	12
04027	5
05007	3
05001	2
05003	1
05005	2
05009	1
05011	0
05013	1
05015	1
05017	0
05019	1
05021	0
05023	2
05025	2
05027	2
05029	7
05031	6
05033	0
05035	2
05037	9
05039	0
05043	2
05045	10
05047	3
05049	0
05051	0
05053	0
05055	1
05057	2
05059	3
05061	0
05063	20
05065	7
05067	1
05069	6
05071	3
05075	2
05077	0
05079	0
05081	0
05083	3
05085	2
05087	2
05089	7
05091	0
05093	3
05095	0
05101	3
05103	3
05105	0
05109	0
05111	0
05113	4
05115	10
05117	0
05119	9
05121	1
05125	6
05127	2
05129	0
05131	5
05133	3
05123	1
05137	4
05139	0
05141	1
05143	5
05145	3
05147	0
05149	3
06001	20
06003	0
06005	3
06007	0
06009	0
06011	0
06013	20
06015	7
06017	5
06019	170
06021	1
06023	4
06025	9
06027	1
06029	281
06031	4
06033	11
06035	0
06037	227
06039	2
06041	1
06043	0
06045	5
06047	8
06049	0
06051	0
06053	11
06055	0
06057	3
06059	11
06061	8
06063	1
06065	22
06067	68
06069	1
06071	54
06073	26
06077	19
06079	10
06081	9
06083	7
06085	5
06087	14
06089	23
06091	1
06093	1
06095	9
06097	12
06099	14
06101	2
06103	2
06105	0
06107	1
06109	6
06111	11
06113	4
06115	18
08001	33
08003	0
08005	25
08007	0
08009	0
08011	1
08013	10
08015	0
08017	0
08019	18
08021	0
08025	0
08027	5
08029	0
08033	0
08035	29
08037	3
08041	30
08043	2
08045	3
08047	1
08051	0
08053	0
08057	0
08059	13
08063	0
08067	3
08065	1
08069	7
08073	0
08075	0
08077	8
08081	1
08083	1
08085	2
08087	4
08089	0
08093	2
08095	0
08097	2
08099	0
08101	3
08103	0
08105	0
08107	1
08109	0
08111	0
08113	0
08117	2
08119	1
08121	1
08123	4
10003	1
12001	14
12003	0
12005	6
12007	1
12009	19
12011	4
12013	0
12015	5
12017	8
12019	13
12021	16
12023	0
12027	6
12029	3
12033	29
12035	7
12037	0
12039	2
12043	0
12045	2
12047	1
12049	0
12051	15
12053	18
12055	10
12057	75
12059	0
12061	1
12063	2
12065	0
12067	1
12069	12
12071	50
12073	12
12075	1
12077	0
12079	2
12081	21
12083	5
12085	8
12086	25
12087	0
12089	4
12091	4
12093	0
12095	0
12097	5
12099	55
12101	41
12103	22
12105	26
12107	11
12113	6
12115	1
12117	2
12109	4
12111	9
12119	1
12121	0
12123	2
12125	1
12127	15
12129	2
12131	3
12133	1
13245	
13009	2
13011	1
13015	0
13017	0
13019	0
13021	67
13023	0
13025	0
13027	1
13029	2
13031	2
13033	0
13035	0
13037	0
13039	
13045	16
13047	7
13049	0
13055	0
13057	5
13059	0
13061	0
13063	0
13063	16
13065	1
13067	0
13067	33
13069	10
13073	4
13075	0
13077	6
13079	0
13081	0
13085	1
13087	0
13089	0
13089	141
13091	0
13093	1
13095	0
13095	0
13097	6
13099	0
13101	0
13103	0
13105	0
13107	0
13109	0
13111	4
13113	0
13115	0
13115	10
13119	1
13121	0
13121	4
13123	0
13125	0
13127	0
13127	5
13129	0
13131	0
13133	0
13135	53
13137	0
13139	24
13141	0
13143	1
13145	2
13147	0
13149	0
13151	0
13151	12
13153	0
13155	0
13157	
13159	0
13161	0
13163	0
13169	0
13171	0
13173	
13175	1
13177	
13179	
13181	0
13183	0
13185	
13187	3
13195	5
13197	0
13189	2
13191	2
13199	2
13201	
13205	0
13207	1
13217	
13219	0
13221	0
13223	40
13225	0
13227	
13229	0
13231	0
13233	0
13233	
13237	
13239	
13241	0
13243	0
13247	9
13249	0
13251	0
13253	0
13255	2
13257	0
13259	
13261	0
13263	0
13265	0
13267	0
13269	1
13273	0
13275	6
13277	0
13281	0
13283	
13285	0
13287	
13291	0
13293	0
13297	0
13299	9
13301	
13303	0
13305	2
13307	0
13311	0
13313	11
13315	0
13317	1
13319	3
13321	0
15009	150
15001	41
15007	31
16001	9
16003	0
16005	2
16007	0
16009	0
16011	2
16013	1
16015	0
16017	3
16019	6
16021	1
16023	0
16025	0
16027	6
16029	0
16031	1
16033	0
16035	4
16037	0
16039	0
16041	0
16043	0
16045	2
16047	0
16049	0
16051	0
16053	2
16055	11
16057	1
16059	0
16061	0
16063	0
16065	1
16067	0
16069	0
16071	0
16073	1
16075	1
16077	2
16079	0
16081	0
16083	1
16085	0
16087	0
17003	1
17001	0
17005	0
17007	3
17009	0
17011	1
17015	0
17017	0
17019	7
17023	1
17025	0
17027	0
17029	1
17031	16
17033	2
17035	0
17037	2
17039	1
17041	0
17043	0
17049	2
17051	1
17053	5
17055	0
17057	1
17059	0
17061	2
17063	1
17065	1
17067	0
17069	0
17073	0
17075	3
17077	1
17081	2
17083	0
17085	1
17087	0
17089	5
17091	17
17093	4
17095	0
17099	0
17097	7
17103	2
17105	1
17107	0
17115	1
17117	0
17119	6
17121	0
17123	0
17125	3
17127	2
17109	0
17111	0
17113	0
17129	0
17131	1
17133	0
17135	1
17137	1
17141	0
17143	15
17145	0
17147	1
17149	0
17155	0
17157	0
17159	1
17161	3
17167	7
17169	0
17171	0
17163	6
17175	0
17177	7
17179	1
17181	0
17183	1
17185	0
17187	0
17189	0
17193	1
17195	0
17197	14
17199	1
17201	7
17203	2
18003	0
18005	0
18009	0
18013	1
18019	
18023	0
18025	0
18027	
18033	
18035	2
18043	
18047	
18051	1
18053	0
18055	1
18067	0
18069	
18071	
18075	
18079	
18083	
18085	3
18091	
18087	
18089	1
18093	6
18095	0
18103	0
18113	0
18145	0
18141	3
18151	0
18153	
18157	
18163	2
18169	0
18177	
18179	
18181	0
19013	1
19001	2
19003	0
19005	0
19007	1
19009	0
19015	0
19017	0
19019	3
19021	0
19023	0
19025	0
19027	0
19029	0
19031	0
19033	0
19035	1
19037	0
19039	0
19041	0
19043	0
19045	0
19047	0
19049	0
19055	0
19059	0
19061	0
19063	0
19065	0
19067	0
19071	1
19075	1
19077	0
19081	0
19083	1
19085	1
19087	1
19089	0
19091	0
19093	0
19095	1
19097	0
19099	5
19101	0
19103	0
19107	0
19109	0
19111	0
19113	1
19115	2
19117	0
19119	0
19121	0
19123	1
19127	1
19129	0
19131	0
19135	0
19139	0
19141	0
19143	1
19145	1
19147	0
19149	0
19151	1
19153	5
19155	4
19159	1
19161	0
19163	1
19167	1
19169	2
19171	2
19173	0
19175	0
19177	0
19179	2
19181	2
19183	0
19185	0
19187	0
19191	0
19193	1
19195	0
19197	0
20015	7
20001	0
20003	1
20007	0
20011	0
20013	0
20019	0
20021	4
20027	0
20029	2
20031	1
20035	0
20037	4
20041	2
20043	0
20047	0
20051	2
20053	0
20055	3
20057	0
20059	5
20061	0
20063	0
20067	0
20069	2
20073	1
20075	0
20077	0
20079	0
20081	0
20085	1
20087	0
20091	3
20095	1
20097	1
20099	0
20103	6
20107	1
20109	0
20111	16
20115	2
20117	0
20121	3
20125	1
20127	0
20129	0
20131	2
20133	1
20135	0
20137	0
20139	1
20141	0
20143	0
20145	2
20147	1
20149	5
20151	2
20153	0
20157	1
20159	0
20161	9
20163	0
20165	1
20167	0
20169	9
20171	0
20173	1
20177	0
20181	0
20183	0
20191	2
20193	0
20195	0
20197	2
20201	0
20203	0
20205	0
20207	5
20209	3
21003	1
21015	4
21017	0
21019	0
21023	0
21029	5
21031	1
21037	0
21037	2
21047	4
21049	0
21059	2
21061	1
21067	0
21077	1
21081	0
21089	1
21091	0
21093	1
21101	0
21103	0
21111	0
21113	0
21117	0
21117	3
21123	1
21149	0
21163	0
21185	0
21185	1
21191	1
21209	2
21211	0
21215	1
21221	0
21223	0
21227	0
21239	0
21001	0
21005	0
21007	1
21009	0
21011	0
21013	2
21021	0
21025	0
21027	0
21033	0
21035	1
21039	0
21041	0
21043	0
21051	2
21053	0
21055	0
21057	0
21063	0
21065	0
21069	0
21071	0
21073	0
21075	0
21079	0
21083	0
21085	1
21087	0
21095	0
21097	0
21099	0
21107	1
21109	1
21115	1
21119	0
21121	1
21125	3
21127	0
21131	0
21133	1
21135	0
21137	1
21139	0
21141	1
21143	0
21151	1
21153	0
21155	0
21157	0
21159	0
21161	0
