id	rate
01001	146
01003	229
01007	20
01009	261
01013	47
01015	137
01017	36
01019	147
01021	247
01025	47
01027	9
01029	40
01031	68
01037	54
01039	52
01043	245
01045	64
01047	173
01049	225
01051	223
01053	10
01055	149
01059	85
01061	71
01063	71
01065	73
01067	34
01069	179
01073	1589
01077	54
01079	105
01081	389
01083	202
01085	96
01089	576
01091	72
01093	91
01095	189
01097	612
01099	51
01101	121
01103	192
01109	27
01113	124
01117	251
01115	214
01121	210
01123	56
01125	387
01127	262
01129	44
01131	64
04003	89
04005	113
04009	30
04011	30
04012	155
04013	1250
04017	159
04019	1674
04021	442
04025	280
04027	387
05007	328
05001	42
05003	71
05005	84
05009	97
05011	24
05013	20
05015	1
05017	26
05019	18
05021	17
05023	97
05025	30
05027	28
05029	53
05031	102
05033	99
05035	129
05037	35
05039	10
05043	42
05045	285
05047	100
05049	0
05051	831
05053	65
05055	71
05057	66
05059	75
05061	32
05063	160
05065	69
05067	46
05069	159
05071	110
05075	26
05077	26
05079	29
05081	27
05083	100
05085	87
05087	35
05089	77
05091	118
05093	98
05095	10
05101	35
05103	33
05105	36
05109	20
05111	1
05113	31
05115	173
05117	11
05119	411
05121	38
05125	255
05127	22
05129	21
05131	104
05133	37
05123	87
05137	40
05139	113
05141	29
05143	185
05145	230
05147	9
05149	77
06001	490
06003	7
06005	142
06007	656
06009	183
06011	78
06013	505
06015	251
06017	512
06019	1625
06021	60
06023	366
06025	129
06027	67
06029	3161
06031	164
06033	337
06035	87
06037	3816
06039	517
06041	172
06043	53
06045	246
06047	601
06049	9
06051	20
06053	303
06055	93
06057	285
06059	213
06061	471
06063	120
06065	1695
06067	3062
06069	64
06071	1525
06073	1131
06077	826
06079	441
06081	454
06083	476
06085	260
06087	485
06089	451
06091	8
06093	118
06095	115
06097	494
06099	726
06101	235
06103	235
06105	101
06107	756
06109	350
06111	224
06113	69
06115	335
08001	437
08003	9
08005	269
08007	32
08009	0
08011	63
08013	161
08015	12
08017	2
08019	10
08021	59
08025	31
08027	22
08029	49
08033	7
08035	380
08037	37
08041	402
08043	60
08045	57
08047	12
08051	1
08053	2
08057	0
08059	454
08063	11
08067	75
08065	5
08069	208
08073	13
08075	39
08077	237
08081	10
08083	47
08085	93
08087	35
08089	34
08093	28
08095	1
08097	6
08099	6
08101	291
08103	2
08105	6
08107	6
08109	7
08111	1
08113	2
08117	49
08119	23
08121	24
08123	259
10003	1318
12001	545
12003	103
12005	536
12007	96
12009	1038
12011	160
12013	16
12015	408
12017	426
12019	618
12021	742
12023	425
12027	167
12029	128
12033	1618
12035	306
12037	20
12039	173
12043	33
12045	59
12047	58
12049	105
12051	281
12053	620
12055	548
12057	2600
12059	86
12061	390
12063	167
12065	65
12067	27
12069	711
12071	1427
12073	670
12075	139
12077	1
12079	108
12081	1070
