State,County,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3
Alabama,Autauga,73,1,12,,8,52,429,146,233,50,
Alabama,Baldwin,127,1,5,,23,98,613,229,342,42,
Alabama,Bibb,0,0,0,,0,0,37,20,14,3,
Alabama,Blount,394,1,17,,9,367,867,261,501,105,
Alabama,Calhoun,23,0,7,,5,11,319,137,181,1,
Alabama,Chilton,151,0,10,,3,138,592,247,295,50,
Alabama,Elmore,88,4,22,,7,55,677,223,408,46,
Alabama,Etowah,135,1,20,,7,107,480,149,255,76,
Alabama,Geneva,46,1,9,,2,34,205,71,106,28,
Alabama,Hale,33,0,2,,2,29,139,73,55,11,
Alabama,Henry,13,0,1,,1,11,86,34,44,8,
Alabama,Houston,114,4,18,,7,85,616,179,395,42,
Alabama,Jefferson,693,5,48,,173,467,2659,1589,919,151,31
Alabama,Lauderdale,30,1,2,,0,27,285,54,190,41,
Alabama,Lawrence,70,0,7,,6,57,326,105,189,32,
Alabama,Lee,443,10,21,,18,394,1296,389,807,100,
Alabama,Limestone,120,0,29,,9,82,829,202,565,62,
Alabama,Lowndes,51,2,5,,9,35,224,96,108,20,
Alabama,Madison,341,2,44,,39,256,2257,576,1474,207,
Alabama,Mobile,151,9,13,,26,103,2149,612,1299,238,
Alabama,Montgomery,117,1,4,,8,104,360,121,198,41,
Alabama,Morgan,71,0,10,,2,59,373,192,165,16,
Alabama,Russell,66,2,20,,5,39,372,124,206,42,
Alabama,Shelby,111,3,25,,8,75,886,251,537,98,
Alabama,St. Clair,236,0,20,,4,212,541,214,303,24,
Alabama,Tuscaloosa,185,1,6,,22,156,1234,387,726,121,
Alabama,Walker,121,2,18,,10,91,908,262,526,120,
Alabama,Barbour,32,0,4,,2,26,124,50,65,9,
Alabama,Butler,51,2,3,,6,40,140,47,87,6,
Alabama,Chambers,1,0,0,,0,1,89,36,53,0,
Alabama,Cherokee,72,2,9,,4,57,387,147,192,48,
Alabama,Clarke,54,3,5,,2,44,105,47,47,11,
Alabama,Clay,2,0,0,,0,2,38,9,27,2,
Alabama,Cleburne,7,0,1,,0,6,145,40,96,9,
Alabama,Coffee,28,0,6,,0,22,153,68,73,12,
Alabama,Coosa,23,0,1,,1,21,174,54,102,18,
Alabama,Covington,19,0,3,,1,15,151,52,84,15,
Alabama,Cullman,58,2,24,,1,31,910,245,574,91,
Alabama,Dale,38,1,12,,1,24,248,64,161,23,
Alabama,Dallas,76,1,8,,4,63,428,173,229,26,
Alabama,DeKalb,162,2,18,,2,140,736,225,403,108,
Alabama,Escambia,3,0,0,,0,3,36,10,20,6,
Alabama,Franklin,45,1,5,,4,35,300,85,182,33,
Alabama,Greene,42,0,0,,5,37,126,71,49,6,
Alabama,Marengo,35,1,1,,4,29,183,72,105,6,
Alabama,Marion,31,3,3,,0,25,217,91,115,11,
Alabama,Marshall,45,1,9,,1,34,454,189,227,38,
Alabama,Monroe,41,1,0,,3,37,116,51,62,3,
Alabama,Pike,21,1,0,,2,18,100,27,69,4,
Alabama,Talladega,120,2,9,,12,97,708,210,430,68,
Alabama,Tallapoosa,25,1,3,,0,21,131,56,68,7,
Alabama,Washington,42,2,4,,1,35,137,44,65,28,
Alabama,Wilcox,52,2,2,,1,47,137,64,59,14,
Arizona,Cochise,212,2,10,,4,196,606,89,458,59,0
Arizona,Coconino,99,3,15,,4,77,419,113,288,18,20
Arizona,Maricopa,1146,22,100,,110,914,5365,1250,3455,660,77
Arizona,Pima,652,18,77,,172,385,8936,1674,6660,602,69
Arizona,Pinal,263,4,44,,13,202,1640,442,987,211,10
Arizona,Yavapai,226,4,22,,9,191,1028,280,653,95,12
Arizona,Yuma,131,6,20,,6,99,1004,387,535,82,5
Arizona,Graham,5,0,1,,0,4,129,30,95,4,13
Arizona,Greenlee,0,0,0,,0,0,60,30,16,14,0
Arizona,La Paz,38,3,2,,3,30,407,155,222,30,0
Arizona,Navajo,73,6,8,,4,55,409,159,214,36,6
Arkansas,Benton,95,2,26,,2,65,663,328,300,35,3
Arkansas,Cleveland,10,0,2,,1,7,71,30,38,3,2
Arkansas,Craighead,46,1,17,,0,28,343,102,205,36,6
Arkansas,Crawford,89,2,14,,0,73,422,99,268,55,0
Arkansas,Crittenden,128,7,8,,20,93,338,129,180,29,2
Arkansas,Faulkner,122,1,27,,3,91,1040,285,609,146,10
Arkansas,Garland,357,0,47,,20,290,1723,831,763,129,0
Arkansas,Grant,47,0,4,,0,43,206,65,123,18,0
Arkansas,Jefferson,82,1,13,,6,62,405,159,200,46,6
Arkansas,Lincoln,16,0,1,,0,15,76,29,38,9,0
Arkansas,Little River,11,0,3,,0,8,71,27,36,8,0
Arkansas,Lonoke,104,1,13,,8,82,456,87,274,95,2
Arkansas,Madison,22,0,4,,1,17,73,35,32,6,2
Arkansas,Miller,27,1,11,,1,14,315,118,159,38,0
Arkansas,Perry,46,0,2,,1,43,150,36,114,0,0
Arkansas,Poinsett,6,0,4,,0,2,1,1,0,0,0
Arkansas,Pulaski,375,5,24,,27,319,1831,411,1190,230,9
Arkansas,Saline,158,2,28,,4,124,837,255,467,115,6
Arkansas,Sebastian,62,0,15,,2,45,313,104,190,19,5
Arkansas,Washington,188,3,18,,0,167,564,185,329,50,5
Arkansas,Arkansas,10,0,0,,3,7,129,42,73,14,2
Arkansas,Ashley,22,0,6,,1,15,184,71,100,13,1
Arkansas,Baxter,57,0,13,,1,43,682,84,551,47,2
Arkansas,Boone,179,0,36,,2,141,310,97,184,29,1
