id	rate
01001	233
01003	342
01007	14
01009	501
01013	87
01015	181
01017	53
01019	192
01021	295
01025	47
01027	27
01029	96
01031	73
01037	102
01039	84
01043	574
01045	161
01047	229
01049	403
01051	408
01053	20
01055	255
01059	182
01061	106
01063	49
01065	55
01067	44
01069	395
01073	919
01077	190
01079	189
01081	807
01083	565
01085	108
01089	1474
01091	105
01093	115
01095	227
01097	1299
01099	62
01101	198
01103	165
01109	69
01113	206
01117	537
01115	303
01121	430
01123	68
01125	726
01127	526
01129	65
01131	59
04003	458
04005	288
04009	95
04011	16
04012	222
04013	3455
04017	214
04019	6660
04021	987
04025	653
04027	535
05007	300
05001	73
05003	100
05005	551
05009	184
05011	2
05013	30
05015	11
05017	50
05019	58
05021	21
05023	199
05025	38
05027	23
05029	203
05031	205
05033	268
05035	180
05037	74
05039	11
05043	77
05045	609
05047	149
05049	61
05051	763
05053	123
05055	135
05057	121
05059	116
05061	12
05063	269
05065	158
05067	98
05069	200
05071	50
05075	40
05077	39
05079	38
05081	36
05083	156
05085	274
05087	32
05089	198
05091	159
05093	173
05095	22
05101	49
05103	51
05105	114
05109	26
05111	0
05113	63
05115	183
05117	28
05119	1190
05121	126
05125	467
05127	43
05129	32
05131	190
05133	36
05123	192
05137	41
05139	165
05141	162
05143	329
05145	493
05147	28
05149	120
06001	1104
06003	26
06005	225
06007	666
06009	341
06011	108
06013	957
06015	96
06017	1534
06019	1468
06021	96
06023	385
06025	298
06027	84
06029	5109
06031	236
06033	283
06035	114
06037	9328
06039	568
06041	554
06043	161
06045	228
06047	886
06049	35
06051	31
06053	1041
06055	175
06057	395
06059	765
06061	1040
06063	207
06065	4630
06067	6943
06069	52
06071	2513
06073	2656
06077	2106
06079	920
06081	2089
06083	1146
06085	826
06087	1533
06089	471
06091	18
06093	102
06095	139
06097	937
06099	1034
06101	329
06103	130
06105	133
06107	1318
06109	377
06111	467
06113	158
06115	744
08001	1582
08003	59
08005	904
08007	71
08009	1
08011	71
08013	388
08015	52
08017	1
08019	48
08021	1
08025	20
08027	70
08029	79
08033	8
08035	1366
08037	
08041	1526
08043	123
08045	156
08047	32
08051	23
08053	4
08057	4
08059	2167
08063	21
08067	164
08065	34
08069	625
08073	7
08075	58
08077	924
08081	31
08083	117
08085	118
08087	71
08089	36
08093	29
08095	3
08097	41
08099	12
08101	858
08103	22
08105	4
08107	28
08109	14
08111	8
08113	1
08117	183
08119	59
08121	61
08123	472
10003	3667
12001	1377
12003	194
12005	1716
12007	102
12009	3096
12011	529
12013	29
12015	1948
12017	1443
12019	2475
12021	3028
12023	505
12027	411
12029	191
12033	5958
12035	1255
12037	61
12039	193
12043	85
12045	99
12047	99
12049	209
12051	371
12053	2283
12055	1420
12057	9972
12059	137
12061	1275
12063	474
12065	72
12067	31
12069	1747
12071	4336
12073	1594
12075	294
12077	4
12079	132
12081	4086
12083	2529
12085	1509
12086	28416
12087	807
12089	433
12091	2384
12093	680
12095	17208
12097	3173
12099	9080
12101	6140
12103	4511
12105	4124
12107	743
12113	1134
12115	3598
12117	2350
12109	2177
12111	1186
12119	627
12121	243
12123	135
12125	34
12127	2881
12129	350
12131	901
12133	92
13245	6560
13009	453
13011	290
13015	1451
13017	133
13019	126
13021	5395
13023	109
13025	344
13027	118
13029	188
13031	341
13033	325
13035	276
13037	7
13039	163
13045	786
13047	584
13049	40
13055	233
13057	1256
13059	0
13061	2
13063	19
13063	5081
13065	30
13067	31
13067	8490
13069	528
13073	1680
13075	72
13077	940
13079	167
13081	304
13085	331
13087	163
13089	0
13089	14072
13091	187
13093	56
13095	171
13095	183
13097	2015
13099	55
13101	14
13103	199
13105	166
13107	149
13109	6
13111	161
13113	276
13115	56
13115	754
13119	161
13121	11
13121	3863
13123	209
13125	7
13127	0
13127	1316
13129	480
13131	91
13133	124
13135	10384
13137	186
13139	1368
13141	75
13143	271
13145	119
13147	200
13149	60
13151	135
13151	2697
13153	828
13155	54
13157	601
13159	98
13161	99
13163	45
13169	254
13171	89
13173	91
13175	297
13177	452
13179	176
13181	140
13183	77
13185	440
13187	321
13195	270
13197	10
13189	117
13191	183
13199	173
13201	19
13205	184
13207	236
13217	862
13219	404
13221	214
13223	1540
13225	151
13227	226
13229	162
13231	178
13233	0
13233	340
13237	258
13239	21
13241	189
13243	27
13247	1187
13249	13
13251	62
13253	49
13255	809
13257	229
13259	2
13261	137
13263	31
13265	17
13267	163
13269	39
13273	42
13275	289
13277	500
13281	70
13283	33
13285	455
13287	27
13291	160
13293	181
13297	542
13299	440
13301	36
13303	84
13305	528
13307	4
13311	177
13313	953
13315	27
13317	13
13319	20
13321	147
15009	4046
15001	3580
15007	968
16001	502
16003	27
16005	25
16007	14
16009	43
16011	111
16013	24
16015	46
16017	198
16019	455
16021	39
16023	3
16025	5
16027	271
16029	4
16031	207
16033	6
16035	30
16037	21
16039	39
16041	42
16043	50
16045	19
16047	32
16049	52
16051	81
16053	48
16055	769
16057	90
16059	10
16061	12
16063	2
16065	39
16067	93
16069	72
16071	18
16073	43
16075	50
16077	18
16079	90
16081	53
16083	86
16085	47
16087	33
17003	24
17001	108
17005	38
17007	135
17009	13
17011	71
17015	46
17017	4
17019	419
17023	23
17025	30
17027	50
17029	54
17031	447
17033	25
17035	12
17037	118
17039	15
17041	20
17043	586
17049	106
17051	63
17053	50
17055	167
17057	57
17059	20
17061	19
17063	99
17065	19
17067	59
17069	25
17073	31
17075	87
17077	152
17081	117
17083	59
17085	40
17087	48
17089	349
17091	185
17093	140
17095	96
17099	188
17097	733
17103	62
17105	129
17107	23
17115	167
17117	113
17119	731
17121	35
17123	16
17125	47
17127	32
17109	33
17111	208
17113	58
17129	23
17131	32
17133	28
17135	80
17137	62
17141	147
17143	615
17145	34
17147	69
17149	49
17155	7
17157	10
17159	28
17161	239
17167	343
17169	1
17171	14
17163	238
17175	28
17177	104
17179	114
17181	56
17183	297
17185	10
17187	46
17189	29
17193	94
17195	53
17197	513
17199	195
17201	530
17203	72
18003	603
18005	303
18009	22
18013	171
18019	295
18023	148
18025	0
18027	64
18033	124
18035	232
18043	274
18047	74
18051	102
18053	181
18055	156
18067	149
18069	69
18071	270
18075	43
18079	102
18083	22
18085	315
18091	257
18087	83
18089	453
18093	120
