id	rate
01001	1
01003	1
01007	0
01009	1
01013	2
01015	0
01017	0
01019	2
01021	0
01025	3
01027	0
01029	0
01031	0
01037	0
01039	0
01043	2
01045	1
01047	1
01049	2
01051	4
01053	0
01055	1
01059	1
01061	1
01063	0
01065	0
01067	0
01069	4
01073	5
01077	1
01079	0
01081	10
01083	0
01085	2
01089	2
01091	1
01093	3
01095	1
01097	9
01099	1
01101	1
01103	0
01109	1
01113	2
01117	3
01115	0
01121	2
01123	1
01125	1
01127	2
01129	2
01131	2
04003	2
04005	3
04009	0
04011	0
04012	3
04013	22
04017	6
04019	18
04021	4
04025	4
04027	6
05007	2
05001	0
05003	0
05005	0
05009	0
05011	0
05013	0
05015	2
05017	0
05019	0
05021	0
05023	2
05025	0
05027	2
05029	0
05031	1
05033	2
05035	7
05037	0
05039	0
05043	0
05045	1
05047	0
05049	0
05051	0
05053	0
05055	0
05057	1
05059	1
05061	0
05063	2
05065	0
05067	0
05069	1
05071	2
05075	0
05077	0
05079	0
05081	0
05083	2
05085	1
05087	0
05089	0
05091	1
05093	1
05095	0
05101	1
05103	0
05105	0
05109	0
05111	0
05113	0
05115	1
05117	0
05119	5
05121	0
05125	2
05127	0
05129	0
05131	0
05133	2
05123	0
05137	0
05139	0
05141	1
05143	3
05145	1
05147	0
05149	3
06001	8
06003	0
06005	0
06007	3
06009	3
06011	0
06013	9
06015	0
06017	1
06019	12
06021	1
06023	9
06025	2
06027	0
06029	44
06031	4
06033	2
06035	1
06037	94
06039	4
06041	3
06043	0
06045	7
06047	2
06049	1
06051	1
06053	11
06055	0
06057	5
06059	0
06061	1
06063	2
06065	28
06067	42
06069	1
06071	12
06073	29
06077	7
06079	0
06081	1
06083	4
06085	4
06087	1
06089	5
06091	0
06093	2
06095	1
06097	3
06099	11
06101	1
06103	3
06105	3
06107	19
06109	1
06111	2
06113	0
06115	3
08001	11
08003	0
08005	4
08007	0
08009	0
08011	0
08013	1
08015	0
08017	0
08019	0
08021	0
08025	1
08027	0
08029	0
08033	0
08035	2
08037	0
08041	7
08043	0
08045	1
08047	0
08051	0
08053	0
08057	0
08059	2
08063	0
08067	0
08065	0
08069	2
08073	0
08075	0
08077	5
08081	0
08083	0
08085	0
08087	0
08089	0
08093	1
08095	0
08097	0
08099	0
08101	2
08103	0
08105	0
08107	0
08109	0
08111	0
08113	0
08117	0
08119	0
08121	0
08123	0
10003	14
12001	1
12003	1
12005	4
12007	1
12009	6
12011	3
12013	0
12015	4
12017	4
12019	3
12021	7
12023	1
12027	1
12029	1
12033	12
12035	0
12037	0
12039	2
12043	0
12045	0
12047	0
12049	0
12051	5
12053	4
12055	4
12057	27
12059	0
12061	1
12063	0
12065	0
12067	0
12069	2
12071	21
12073	1
12075	1
12077	1
12079	1
12081	18
12083	8
12085	6
12086	84
12087	1
12089	3
12091	4
12093	5
12095	61
12097	7
12099	25
12101	10
12103	5
12105	14
12107	4
12113	6
12115	5
12117	6
12109	4
12111	3
12119	0
12121	3
12123	2
12125	2
12127	4
12129	1
12131	3
12133	0
13245	18
13009	5
13011	0
13015	0
13017	1
13019	0
13021	15
13023	0
13025	0
13027	0
13029	2
13031	1
13033	3
13035	1
13037	0
13039	0
13045	1
13047	2
13049	0
13055	0
13057	4
13059	0
13061	0
13063	0
13063	39
13065	0
13067	0
13067	16
13069	1
13073	8
13075	0
13077	0
13079	0
13081	0
13085	0
13087	1
13089	0
13089	76
13091	0
13093	0
13095	0
13095	0
13097	7
13099	0
13101	0
13103	0
13105	0
13107	1
13109	0
13111	0
13113	1
13115	0
13115	1
13119	1
13121	0
13121	18
13123	1
13125	0
13127	0
13127	2
13129	3
13131	0
13133	0
13135	24
13137	1
13139	3
13141	0
13143	1
13145	0
13147	0
13149	0
13151	0
13151	7
13153	0
13155	0
13157	0
13159	0
13161	1
13163	0
13169	0
13171	1
13173	0
13175	0
13177	0
13179	0
13181	2
13183	1
13185	0
13187	1
13195	0
13197	0
13189	0
13191	0
13199	0
13201	0
13205	0
13207	0
13217	7
13219	2
13221	0
13223	1
13225	2
13227	0
13229	2
13231	0
13233	0
13233	1
13237	0
13239	0
13241	0
13243	0
13247	4
13249	0
13251	0
13253	0
13255	0
13257	1
13259	0
13261	0
13263	0
13265	0
13267	1
13269	0
13273	1
13275	0
13277	3
13281	1
13283	0
13285	0
13287	0
13291	0
13293	0
13297	0
13299	0
13301	0
13303	0
13305	1
13307	0
13311	0
13313	0
13315	0
13317	1
13319	2
13321	0
15009	5
15001	9
15007	5
16001	1
16003	0
16005	1
16007	0
16009	2
16011	0
16013	0
16015	1
16017	1
16019	0
16021	0
16023	0
16025	0
16027	1
16029	0
16031	0
16033	0
16035	1
16037	0
16039	0
16041	0
16043	0
16045	0
16047	0
16049	0
16051	0
16053	0
16055	6
16057	0
16059	1
16061	0
16063	0
16065	0
16067	0
16069	0
16071	0
16073	1
16075	0
16077	0
16079	0
16081	1
16083	0
16085	0
16087	0
17003	0
17001	1
17005	0
17007	0
17009	0
17011	0
17015	0
17017	0
17019	3
17023	1
17025	0
17027	0
17029	0
17031	7
17033	0
17035	0
17037	2
17039	0
17041	0
17043	1
17049	0
17051	0
17053	0
17055	0
17057	1
17059	0
17061	0
17063	0
17065	0
17067	0
17069	0
17073	0
17075	1
17077	0
17081	0
17083	0
17085	0
17087	0
17089	0
17091	5
17093	0
17095	0
17099	0
17097	0
17103	1
17105	0
17107	0
17115	0
17117	1
17119	0
17121	0
17123	0
17125	0
17127	1
17109	0
17111	0
17113	2
17129	0
17131	0
17133	0
17135	0
17137	0
17141	0
17143	0
17145	0
17147	0
17149	0
17155	0
17157	0
17159	0
17161	0
17167	1
17169	0
17171	0
17163	2
17175	0
17177	0
17179	0
17181	0
17183	0
17185	0
17187	0
17189	0
17193	0
17195	0
17197	5
17199	0
17201	3
17203	0
18003	4
18005	0
18009	0
18013	0
18019	0
18023	0
18025	0
18027	0
18033	0
18035	3
18043	1
18047	0
18051	0
18053	0
18055	0
18067	1
18069	0
18071	1
18075	0
18079	0
18083	1
18085	1
18091	0
18087	2
18089	4
18093	0
18095	1
18103	0
18113	0
18145	1
18141	1
18151	1
18153	0
18157	0
18163	0
18169	0
18177	1
18179	0
18181	0
19013	0
19001	0
19003	0
19005	0
19007	0
19009	0
19015	0
19017	0
19019	0
19021	0
19023	0
19025	0
19027	0
19029	0
19031	0
19033	0
19035	0
19037	0
19039	0
19041	0
19043	0
19045	0
19047	0
19049	0
19055	0
19059	0
19061	1
19063	0
19065	0
19067	0
19071	0
19075	0
19077	0
19081	0
19083	0
19085	0
19087	0
19089	0
19091	0
19093	0
19095	0
19097	1
19099	0
19101	1
19103	0
19107	0
19109	0
19111	0
19113	0
19115	0
19117	0
19119	0
19121	0
19123	0
19127	0
19129	0
19131	0
19135	0
19139	0
19141	0
19143	0
19145	0
19147	0
19149	0
19151	0
19153	2
19155	0
19159	0
19161	0
19163	0
19167	0
19169	0
19171	0
19173	0
19175	0
19177	0
19179	1
19181	0
19183	0
19185	0
19187	1
19191	1
19193	0
19195	0
19197	0
20015	0
20001	0
20003	0
20007	0
20011	0
20013	0
20019	0
20021	0
20027	0
20029	0
20031	0
20035	0
20037	0
20041	1
20043	0
20047	0
20051	0
20053	0
20055	1
20057	0
20059	0
20061	0
20063	0
20067	1
20069	0
20073	1
20075	0
20077	0
20079	6
20081	0
20085	0
20087	1
20091	0
20095	0
20097	0
20099	1
20103	0
20107	0
20109	0
20111	0
20115	0
20117	0
20121	0
20125	1
20127	0
20129	0
20131	0
20133	1
20135	0
20137	0
20139	0
20141	0
20143	0
20145	0
20147	0
20149	0
20151	0
20153	0
20157	0
20159	0
20161	1
20163	0
20165	0
20167	0
20169	1
20171	0
20173	4
20177	0
20181	0
20183	0
20191	0
20193	0
20195	0
20197	0
20201	0
20203	0
20205	0
20207	0
20209	0
21003	1
21015	1
21017	0
21019	0
21023	0
21029	2
21031	0
21037	0
21037	0
21047	1
21049	0
21059	1
21061	0
21067	0
21077	0
21081	0
21089	0
21091	0
21093	1
21101	0
21103	0
21111	0
21113	0
21117	0
21117	0
21123	0
21149	0
21163	0
21185	0
21185	0
21191	0
21209	0
21211	0
21215	0
21221	0
21223	0
21227	0
21239	0
21001	0
21005	0
21007	0
21009	0
21011	0
21013	0
21021	0
21025	0
21027	1
21033	0
21035	1
21039	0
21041	0
21043	0
21051	1
21053	1
21055	0
21057	0
21063	0
21065	0
21069	0
21071	0
21073	2
21075	0
21079	0
21083	1
21085	0
21087	0
21095	0
21097	0
21099	0
21107	0
21109	0
21115	0
21119	0
21121	0
21125	2
21127	0
21131	0
21133	0
21135	0
21137	0
21139	0
21141	0
21143	0
21151	0
21153	0
21155	0
21157	0
21159	0
21161	0
21145	1
21147	0
21165	0
21167	0
21169	0
21171	0
21173	0
21175	0
21177	0
21177	0
21179	2
21181	0
21183	0
21187	0
21189	0
21193	0
21195	0
21197	0
21199	0
21201	0
21203	0
21205	0
21207	0
21213	0
21217	0
21219	0
21225	1
21229	0
21231	0
21233	0
21235	0
21237	0
22001	7
22005	4
22015	0
22017	2
22019	6
22023	0
22031	0
22033	14
22037	0
22043	0
22045	0
22047	1
22051	44
22055	10
22057	9
22063	2
22073	5
22075	1
22077	3
22079	1
22087	0
