id	rate
01001	50
01003	42
01007	3
01009	105
01013	6
01015	1
01017	0
01019	48
01021	50
01025	11
01027	2
01029	9
01031	12
01037	18
01039	15
01043	91
01045	23
01047	26
01049	108
01051	46
01053	6
01055	76
01059	33
01061	28
01063	6
01065	11
01067	8
01069	42
01073	151
01077	41
01079	32
01081	100
01083	62
01085	20
01089	207
01091	6
01093	11
01095	38
01097	238
01099	3
01101	41
01103	16
01109	4
01113	42
01117	98
01115	24
01121	68
01123	7
01125	121
01127	120
01129	28
01131	14
04003	59
04005	18
04009	4
04011	14
04012	30
04013	660
04017	36
04019	602
04021	211
04025	95
04027	82
05007	35
05001	14
05003	13
05005	47
05009	29
05011	3
05013	3
05015	5
05017	0
05019	10
05021	3
05023	34
05025	3
05027	2
05029	29
05031	36
05033	55
05035	29
05037	12
05039	0
05043	12
05045	146
05047	18
05049	5
05051	129
05053	18
05055	10
05057	27
05059	35
05061	0
05063	50
05065	18
05067	28
05069	46
05071	20
05075	5
05077	8
05079	9
05081	8
05083	24
05085	95
05087	6
05089	13
05091	38
05093	32
05095	12
05101	6
05103	14
05105	0
05109	3
05111	0
05113	5
05115	60
05117	3
05119	230
05121	7
05125	115
05127	10
05129	3
05131	19
05133	2
05123	2
05137	3
05139	20
05141	28
05143	50
05145	104
05147	8
05149	28
06001	601
06003	1
06005	4
06007	22
06009	11
06011	0
06013	23
06015	8
06017	39
06019	705
06021	3
06023	22
06025	26
06027	7
06029	2170
06031	26
06033	15
06035	1
06037	4354
06039	17
06041	4
06043	3
06045	3
06047	54
06049	0
06051	0
06053	33
06055	2
06057	17
06059	145
06061	28
06063	8
06065	1326
06067	137
06069	10
06071	1197
06073	830
06077	140
06079	23
06081	300
06083	17
06085	226
06087	32
06089	40
06091	0
06093	5
06095	58
06097	19
06099	61
06101	54
06103	6
06105	0
06107	0
06109	10
06111	76
06113	21
06115	7
08001	935
08003	5
08005	208
08007	3
08009	0
08011	5
08013	37
08015	6
08017	0
08019	6
08021	2
08025	7
08027	7
08029	21
08033	2
08035	193
08037	15
08041	258
08043	25
08045	18
08047	3
08051	1
08053	0
08057	1
08059	268
08063	4
08067	26
08065	2
08069	97
08073	3
08075	28
08077	97
08081	4
08083	10
08085	18
08087	10
08089	8
08093	10
08095	0
08097	8
08099	5
08101	160
08103	1
08105	2
08107	3
08109	4
08111	1
08113	0
08117	9
08119	8
08121	3
08123	116
10003	500
12001	122
12003	19
12005	181
12007	13
12009	360
12011	79
12013	3
12015	100
12017	110
12019	163
12021	224
12023	65
12027	44
12029	10
12033	553
12035	85
12037	4
12039	13
12043	10
12045	5
12047	12
12049	19
12051	23
12053	210
12055	98
12057	1186
12059	18
12061	117
12063	40
12065	15
12067	2
12069	228
12071	433
12073	133
12075	28
12077	2
12079	0
12081	335
12083	469
12085	77
12086	3297
12087	49
12089	49
12091	148
12093	69
12095	2194
12097	258
12099	1110
12101	668
12103	421
12105	634
12107	62
12113	88
12115	191
12117	139
12109	117
12111	104
12119	39
12121	38
12123	16
12125	1
12127	285
12129	20
12131	77
12133	15
13245	446
13009	31
13011	21
13015	222
13017	9
13019	6
13021	600
13023	8
13025	15
