id	rate
01001	429
01003	613
01007	37
01009	867
01013	140
01015	319
01017	89
01019	387
01021	592
01025	105
01027	38
01029	145
01031	153
01037	174
01039	151
01043	910
01045	248
01047	428
01049	736
01051	677
01053	36
01055	480
01059	300
01061	205
01063	126
01065	139
01067	86
01069	616
01073	2659
01077	285
01079	326
01081	1296
01083	829
01085	224
01089	2257
01091	183
01093	217
01095	454
01097	2149
01099	116
01101	360
01103	373
01109	100
01113	372
01117	886
01115	541
01121	708
01123	131
01125	1234
01127	908
01129	137
01131	137
04003	606
04005	419
04009	129
04011	60
04012	407
04013	5365
04017	409
04019	8936
04021	1640
04025	1028
04027	1004
05007	663
05001	129
05003	184
05005	682
05009	310
05011	29
05013	53
05015	17
05017	76
05019	86
05021	41
05023	330
05025	71
05027	53
05029	285
05031	343
05033	422
05035	338
05037	121
05039	21
05043	131
05045	1040
05047	267
05049	66
05051	1723
05053	206
05055	216
05057	214
05059	226
05061	44
05063	479
05065	245
05067	172
05069	405
05071	180
05075	71
05077	73
05079	76
05081	71
05083	280
05085	456
05087	73
05089	288
05091	315
05093	303
05095	44
05101	90
05103	98
05105	150
05109	49
05111	1
05113	99
05115	416
05117	42
05119	1831
05121	171
05125	837
05127	75
05129	56
05131	313
05133	75
05123	281
05137	84
05139	298
05141	219
05143	564
05145	827
05147	45
05149	225
06001	2195
06003	34
06005	371
06007	1344
06009	535
06011	186
06013	1485
06015	355
06017	2085
06019	3798
06021	159
06023	773
06025	453
06027	158
06029	10440
06031	426
06033	635
06035	202
06037	17498
06039	1102
06041	730
06043	217
06045	477
06047	1541
06049	44
06051	51
06053	1377
06055	270
06057	697
06059	1123
06061	1539
06063	335
06065	7651
06067	10142
06069	126
06071	5235
06073	4617
06077	3072
06079	1384
06081	2843
06083	1639
06085	1312
06087	2050
06089	962
06091	26
06093	225
06095	312
06097	1450
06099	1821
06101	618
06103	371
06105	234
06107	2074
06109	737
06111	767
06113	248
06115	1086
08001	2954
08003	73
08005	1381
08007	106
08009	1
08011	139
08013	586
08015	70
08017	3
08019	64
08021	62
08025	58
08027	99
08029	149
08033	17
08035	1939
08037	
08041	2186
08043	208
08045	231
08047	47
08051	25
08053	6
08057	5
08059	2889
08063	36
08067	265
08065	41
08069	930
08073	23
08075	125
08077	1258
08081	45
08083	174
08085	229
08087	116
08089	78
08093	67
08095	4
08097	55
08099	23
08101	1309
08103	25
08105	12
08107	37
08109	25
08111	10
08113	3
08117	241
08119	90
08121	88
08123	847
10003	5485
12001	2044
12003	316
12005	2433
12007	211
12009	4494
12011	768
12013	48
12015	2456
12017	1979
12019	3256
12021	3994
12023	995
12027	622
12029	329
12033	8129
12035	1646
12037	85
12039	379
12043	128
12045	163
12047	169
12049	333
12051	675
12053	3113
12055	2066
12057	13758
12059	241
12061	1782
12063	681
12065	152
12067	60
12069	2686
12071	6196
12073	2397
12075	461
12077	7
12079	240
12081	5491
12083	4403
12085	1909
12086	36318
12087	1061
12089	956
12091	3057
12093	953
12095	25493
12097	4671
12099	13158
12101	8594
12103	5839
12105	6506
12107	1201
12113	1571
12115	4586
12117	3224
12109	2896
12111	1659
12119	891
12121	404
12123	267
12125	60
12127	4088
12129	504
12131	1311
12133	167
13245	8643
13009	638
13011	445
13015	2181
13017	223
13019	181
13021	7934
13023	151
13025	478
13027	179
13029	269
13031	526
13033	447
13035	368
13037	9
13039	257
13045	1398
13047	904
13049	96
13055	346
13057	1568
13059	0
13061	3
13063	27
13063	8686
13065	56
13067	39
13067	11609
13069	780
13073	1952
13075	112
13077	1372
13079	252
13081	363
13085	442
13087	254
13089	0
13089	23887
13091	284
13093	81
13095	171
13095	308
13097	2636
13099	84
13101	27
13103	435
13105	295
13107	260
13109	26
13111	289
13113	405
13115	81
13115	1216
13119	234
13121	11
13121	6005
13123	349
13125	18
13127	0
13127	1852
13129	711
13131	181
13133	157
13135	14726
13137	348
13139	1999
13141	113
13143	456
13145	227
13147	294
13149	122
13151	135
13151	4136
13153	1087
13155	100
13157	756
13159	166
13161	150
13163	100
13169	418
13171	135
13173	122
13175	504
13177	576
13179	276
13181	178
13183	171
13185	720
13187	443
13195	436
13197	30
13189	235
13191	285
13199	254
13201	28
13205	258
13207	355
13217	1412
13219	507
13221	293
13223	2230
13225	257
13227	345
13229	247
13231	228
13233	0
13233	590
13237	358
13239	36
13241	260
13243	53
13247	1628
13249	20
13251	146
13253	70
13255	1220
13257	312
13259	3
13261	212
13263	67
13265	30
13267	244
13269	80
13273	69
13275	484
13277	711
13281	128
13283	54
13285	665
13287	43
13291	243
13293	262
13297	795
13299	604
13301	62
13303	131
13305	731
13307	7
13311	287
13313	1424
13315	61
13317	21
13319	40
13321	238
15009	5741
15001	4928
15007	1492
16001	700
16003	33
16005	35
16007	26
16009	71
16011	203
16013	42
16015	63
16017	376
16019	682
16021	85
16023	3
16025	8
16027	528
16029	11
16031	363
16033	8
16035	57
16037	27
16039	58
16041	49
16043	62
16045	31
16047	64
16049	99
16051	117
16053	116
16055	1174
16057	163
16059	31
16061	16
16063	2
16065	85
16067	141
16069	108
16071	34
16073	65
16075	77
16077	28
16079	158
16081	74
16083	236
16085	67
16087	46
17003	39
17001	169
17005	63
17007	167
17009	14
17011	130
17015	62
17017	6
17019	655
17023	39
17025	54
17027	64
17029	93
17031	689
17033	45
17035	22
17037	148
17039	25
17041	29
17043	764
17049	161
17051	88
17053	84
17055	262
17057	102
17059	26
17061	32
17063	146
17065	29
17067	102
17069	36
17073	46
17075	167
17077	242
17081	211
17083	107
17085	74
17087	68
17089	511
17091	366
17093	222
17095	150
17099	302
17097	1055
17103	130
17105	180
17107	58
17115	217
17117	150
17119	1023
17121	86
17123	41
17125	76
17127	54
17109	45
17111	275
17113	99
17129	31
17131	64
17133	42
17135	122
