id	rate
01001	12
01003	5
01007	0
01009	17
01013	3
01015	7
01017	0
01019	9
01021	10
01025	5
01027	0
01029	1
01031	6
01037	1
01039	3
01043	24
01045	12
01047	8
01049	18
01051	22
01053	0
01055	20
01059	5
01061	9
01063	0
01065	2
01067	1
01069	18
01073	48
01077	2
01079	7
01081	21
01083	29
01085	5
01089	44
01091	1
01093	3
01095	9
01097	13
01099	0
01101	4
01103	10
01109	0
01113	20
01117	25
01115	20
01121	9
01123	3
01125	6
01127	18
01129	4
01131	2
04003	10
04005	15
04009	1
04011	0
04012	2
04013	100
04017	8
04019	77
04021	44
04025	22
04027	20
05007	26
05001	0
05003	6
05005	13
05009	36
05011	2
05013	1
05015	7
05017	1
05019	0
05021	2
05023	22
05025	2
05027	1
05029	10
05031	17
05033	14
05035	8
05037	3
05039	0
05043	2
05045	27
05047	8
05049	2
05051	47
05053	4
05055	7
05057	3
05059	6
05061	0
05063	15
05065	12
05067	4
05069	13
05071	6
05075	1
05077	0
05079	1
05081	3
05083	7
05085	13
05087	4
05089	9
05091	11
05093	10
05095	1
05101	3
05103	2
05105	2
05109	0
05111	4
05113	10
05115	11
05117	1
05119	24
05121	11
05125	28
05127	4
05129	3
05131	15
05133	5
05123	5
05137	4
05139	2
05141	3
05143	18
05145	39
05147	0
05149	3
06001	30
06003	0
06005	6
06007	34
06009	26
06011	2
06013	25
06015	30
06017	53
06019	29
06021	0
06023	22
06025	8
06027	7
06029	177
06031	16
06033	17
06035	4
06037	307
06039	28
06041	4
06043	12
06045	42
06047	18
06049	3
06051	2
06053	18
06055	7
06057	4
06059	20
06061	33
06063	10
06065	56
06067	155
06069	6
06071	88
06073	115
06077	26
06079	21
06081	57
06083	49
06085	46
06087	36
06089	58
06091	0
06093	5
06095	2
06097	91
06099	42
06101	7
06103	6
06105	3
06107	28
06109	45
06111	29
06113	8
06115	11
08001	94
08003	2
08005	74
08007	3
08009	0
08011	2
08013	20
08015	0
08017	0
08019	1
08021	1
08025	1
08027	1
08029	13
08033	0
08035	133
08037	14
08041	80
08043	1
08045	15
08047	1
08051	0
08053	1
08057	0
08059	66
08063	0
08067	22
08065	3
08069	26
08073	0
08075	11
08077	51
08081	1
08083	1
08085	6
08087	0
08089	0
08093	2
08095	0
08097	3
08099	1
08101	1
08103	0
08105	0
08107	6
08109	0
08111	0
08113	1
08117	20
08119	1
08121	5
08123	12
10003	44
12001	62
12003	4
12005	40
12007	4
12009	42
12011	20
12013	1
12015	35
12017	40
12019	87
12021	65
12023	14
12027	12
12029	13
12033	153
12035	16
12037	1
12039	6
12043	2
12045	3
12047	3
12049	8
12051	13
12053	62
12055	21
12057	173
12059	6
12061	11
12063	16
12065	10
12067	0
12069	52
12071	175
12073	39
12075	8
12077	0
12079	6
12081	120
12083	58
12085	45
12086	409
12087	21
12089	19
12091	76
12093	18
12095	498
12097	79
12099	216
12101	165
12103	111
12105	139
12107	33
12113	52
12115	31
12117	81
12109	13
12111	29
12119	21
12121	11
12123	9
12125	0
12127	81
12129	3
12131	16
12133	3
13245	
13009	
13011	
13015	
13017	
13019	
13021	
13023	
13025	
13027	
13029	
13031	
13033	
13035	
13037	
13039	
13045	
13047	
13049	
13055	
13057	
13059	
13061	
13063	
13063	
13065	
13067	
13067	
13069	
13073	
13075	
13077	
13079	
13081	
13085	
13087	
13089	
13089	
13091	
13093	
13095	
13095	
13097	
13099	
13101	
13103	
13105	
13107	
13109	
13111	
13113	
13115	
13115	
13119	
13121	
13121	
13123	
13125	
13127	
13127	
13129	
13131	
13133	
13135	
13137	
13139	
13141	
13143	
13145	
13147	
13149	
13151	
13151	
13153	
13155	
13157	
13159	
13161	
13163	
13169	
13171	
13173	
13175	
13177	
13179	
13181	
13183	
13185	
13187	
13195	
13197	
13189	
13191	
13199	
13201	
13205	
13207	
13217	
13219	
13221	
13223	
13225	
13227	
13229	
13231	
13233	
13233	
13237	
13239	
13241	
13243	
13247	
13249	
13251	
13253	
13255	
13257	
13259	
13261	
13263	
13265	
13267	
13269	
13273	
13275	
13277	
13281	
13283	
13285	
13287	
13291	
13293	
13297	
13299	
13301	
13303	
13305	
13307	
13311	
13313	
13315	
13317	
13319	
13321	
15009	77
15001	115
15007	45
16001	53
16003	0
16005	0
16007	0
16009	1
16011	15
16013	1
16015	1
16017	13
16019	11
16021	2
16023	0
16025	0
16027	14
16029	0
16031	8
16033	1
16035	0
16037	1
16039	1
16041	0
16043	3
16045	3
16047	1
16049	5
16051	3
16053	2
16055	19
16057	5
16059	0
16061	0
16063	0
16065	9
16067	3
16069	1
16071	1
16073	1
16075	3
16077	0
16079	4
16081	0
16083	4
16085	4
16087	7
17003	0
17001	12
17005	0
17007	12
17009	0
17011	2
17015	0
17017	0
17019	21
17023	0
17025	0
17027	1
17029	2
17031	29
17033	0
17035	1
17037	11
17039	5
17041	0
17043	8
17049	2
17051	4
17053	6
17055	0
17057	2
17059	0
17061	1
17063	5
17065	0
17067	1
17069	0
17073	0
17075	4
17077	1
17081	5
17083	6
17085	2
17087	0
17089	15
17091	1
17093	8
17095	3
17099	18
17097	20
17103	0
17105	12
17107	1
17115	5
17117	0
17119	17
17121	5
17123	3
17125	6
17127	1
17109	0
17111	17
17113	5
17129	2
17131	2
17133	1
17135	0
17137	5
17141	3
17143	15
17145	1
17147	1
17149	4
17155	0
17157	0
17159	1
17161	6
17167	36
17169	0
17171	0
17163	20
17175	0
17177	5
17179	15
17181	15
17183	22
17185	0
17187	1
17189	0
17193	0
17195	5
17197	19
17199	4
17201	34
17203	2
18003	
18005	
18009	
18013	
18019	
18023	
18025	
18027	0
18033	4
18035	
18043	
18047	
18051	
18053	
18055	1
18067	
18069	1
18071	4
18075	
18079	
18083	0
18085	
18091	
18087	5
18089	5
18093	
18095	29
18103	
18113	
18145	2
18141	28
18151	8
18153	
18157	
18163	9
18169	
18177	5
18179	0
18181	0
19013	4
19001	4
19003	0
19005	0
19007	1
19009	0
19015	0
19017	2
19019	5
19021	3
19023	1
19025	0
19027	0
19029	1
19031	3
19033	0
19035	1
19037	3
19039	1
19041	0
19043	1
19045	0
19047	0
19049	7
19055	0
19059	3
19061	5
19063	0
19065	0
19067	3
19071	4
19075	0
19077	0
19081	5
19083	1
19085	0
19087	3
19089	1
19091	0
19093	3
19095	0
19097	1
19099	3
19101	0
19103	24
19107	0
19109	1
19111	1
19113	6
19115	5
19117	0
19119	3
19121	0
19123	1
19127	2
19129	1
19131	0
19135	1
19139	6
19141	2
19143	2
19145	2
19147	2
19149	4
19151	1
19153	21
19155	10
19159	1
19161	1
19163	7
19167	0
19169	4
19171	2
19173	1
19175	0
19177	0
19179	0
19181	8
19183	9
19185	0
19187	1
19191	0
19193	0
19195	0
19197	1
20015	8
20001	1
20003	0
20007	0
20011	4
20013	1
20019	0
20021	3
20027	0
20029	4
20031	1
20035	0
20037	4
20041	5
20043	0
20047	0
20051	2
20053	0
20055	5
20057	1
20059	5
20061	1
20063	0
20067	0
20069	0
20073	1
20075	0
20077	1
20079	0
20081	1
20085	4
20087	3
20091	9
20095	1
20097	0
20099	0
20103	4
20107	1
20109	0
20111	2
20115	0
20117	2
20121	5
20125	2
20127	0
20129	1
20131	0
20133	1
20135	1
20137	0
20139	1
20141	1
20143	0
20145	0
20147	0
20149	2
20151	0
20153	1
20157	0
20159	0
20161	44
20163	1
20165	1
20167	1
20169	4
20171	1
20173	1
20177	7
20181	0
20183	0
20191	1
20193	0
20195	0
20197	0
20201	0
20203	0
20205	0
20207	1
20209	2
21003	4
21015	18
21017	0
21019	3
21023	0
21029	9
21031	0
21037	0
21037	10
21047	6
21049	5
21059	12
21061	1
21067	0
21077	0
21081	2
21089	0
21091	0
21093	1
21101	4
21103	0
21111	0
21113	3
21117	0
21117	4
21123	0
21149	0
21163	0
21185	0
21185	7
21191	1
21209	5
21211	8
21215	1
21221	1
21223	0
21227	10
21239	0
21001	0
21005	0
21007	1
21009	3
21011	1
21013	1
21021	2
21025	0
21027	1
21033	0
21035	3
21039	0
21041	0
21043	0
21051	0
21053	1
21055	0
21057	0
21063	0
21065	0
21069	0
21071	1
21073	3
21075	0
21079	0
21083	7
21085	2
21087	0
21095	3
21097	0
21099	0
21107	0
21109	0
21115	1
21119	0
21121	1
21125	4
21127	0
21131	0
21133	2
21135	0
21137	0
21139	0
21141	4
21143	0
21151	9
21153	0
21155	0
21157	4
21159	1
21161	2
21145	26
21147	0
21165	0
21167	1
21169	0
21171	0
21173	1
21175	0
21177	1
21177	0
21179	7
21181	0
21183	5
21187	0
21189	0
21193	0
21195	3
21197	0
21199	4
21201	0
21203	0
21205	1
21207	1
21213	1
21217	2
21219	0
21225	0
21229	0
21231	0
21233	0
21235	0
21237	0
22001	0
