id	rate
01001	8
01003	23
01007	0
01009	9
01013	6
01015	5
01017	0
01019	4
01021	3
01025	2
01027	0
01029	0
01031	0
01037	1
01039	1
01043	1
01045	1
01047	4
01049	2
01051	7
01053	0
01055	7
01059	4
01061	2
01063	5
01065	2
01067	1
01069	7
01073	173
01077	0
01079	6
01081	18
01083	9
01085	9
01089	39
01091	4
01093	0
01095	1
01097	26
01099	3
01101	8
01103	2
01109	2
01113	5
01117	8
01115	4
01121	12
01123	0
01125	22
01127	10
01129	1
01131	1
04003	4
04005	4
04009	0
04011	0
04012	3
04013	110
04017	4
04019	172
04021	13
04025	9
04027	6
05007	2
05001	3
05003	1
05005	1
05009	2
05011	0
05013	0
05015	0
05017	0
05019	1
05021	0
05023	0
05025	1
05027	0
05029	0
05031	0
05033	0
05035	20
05037	1
05039	0
05043	0
05045	3
05047	0
05049	0
05051	20
05053	0
05055	0
05057	1
05059	2
05061	0
05063	1
05065	0
05067	0
05069	6
05071	2
05075	1
05077	0
05079	0
05081	0
05083	2
05085	8
05087	1
05089	1
05091	1
05093	2
05095	0
05101	0
05103	0
05105	1
05109	1
05111	0
05113	0
05115	4
05117	0
05119	27
05121	1
05125	4
05127	1
05129	0
05131	2
05133	0
05123	1
05137	0
05139	6
05141	0
05143	0
05145	2
05147	0
05149	1
06001	204
06003	0
06005	8
06007	28
06009	16
06011	6
06013	108
06015	11
06017	37
06019	82
06021	1
06023	57
06025	12
06027	5
06029	443
06031	16
06033	15
06035	2
06037	1474
06039	19
06041	19
06043	1
06045	19
06047	33
06049	0
06051	1
06053	54
06055	8
06057	5
06059	30
06061	34
06063	6
06065	177
06067	880
06069	4
06071	151
06073	206
06077	174
06079	16
06081	64
06083	32
06085	15
06087	44
06089	22
06091	0
06093	2
06095	17
06097	48
06099	134
06101	6
06103	12
06105	6
06107	62
06109	9
06111	19
06113	7
06115	32
08001	93
08003	0
08005	46
08007	1
08009	0
08011	1
08013	6
08015	0
08017	0
08019	0
08021	0
08025	0
08027	0
08029	1
08033	1
08035	7
08037	0
08041	25
08043	3
08045	2
08047	0
08051	1
08053	0
08057	0
08059	15
08063	0
08067	1
08065	0
08069	10
08073	0
08075	0
08077	6
08081	0
08083	2
08085	1
08087	1
08089	0
08093	0
08095	0
08097	0
08099	0
08101	6
08103	0
08105	0
08107	0
08109	0
08111	0
08113	0
08117	2
08119	0
08121	0
08123	6
10003	212
12001	75
12003	8
12005	41
12007	1
12009	101
12011	92
12013	0
12015	19
12017	39
12019	81
12021	166
12023	13
12027	8
12029	1
12033	308
12035	29
12037	0
12039	5
12043	2
12045	1
12047	1
12049	6
12051	22
12053	60
12055	40
12057	352
12059	6
12061	24
12063	6
12065	2
12067	0
12069	36
12071	252
12073	42
12075	2
12077	0
12079	2
12081	169
12083	93
12085	48
12086	1537
12087	15
12089	4
12091	51
12093	10
12095	1159
12097	83
12099	436
12101	169
12103	149
12105	135
12107	28
12113	16
12115	68
12117	55
12109	32
12111	30
12119	8
12121	8
12123	1
12125	2
12127	100
12129	4
12131	10
12133	3
13245	323
13009	12
13011	5
13015	33
13017	3
13019	1
13021	261
13023	1
13025	5
13027	4
13029	1
13031	7
13033	0
13035	7
13037	0
13039	5
13045	21
13047	8
13049	1
13055	3
13057	15
13059	0
13061	0
13063	1
13063	603
13065	0
13067	8
13067	461
13069	3
13073	17
13075	4
13077	25
13079	2
13081	2
13085	2
13087	2
13089	0
13089	1595
13091	2
13093	1
13095	0
13095	8
13097	60
13099	0
13101	0
13103	7
13105	0
13107	0
13109	2
13111	1
13113	11
13115	4
13115	11
13119	1
13121	1
13121	333
13123	3
13125	0
13127	0
13127	36
13129	5
13131	1
13133	0
13135	745
13137	5
13139	27
13141	2
13143	3
13145	1
13147	1
13149	1
13151	0
13151	120
13153	11
13155	0
13157	7
13159	2
13161	0
13163	1
13169	6
13171	2
13173	0
13175	2
13177	8
13179	8
13181	1
13183	2
13185	6
13187	3
13195	8
13197	0
13189	7
13191	7
13199	3
13201	0
13205	1
13207	0
13217	43
13219	0
13221	3
13223	17
13225	3
13227	0
13229	4
13231	0
13233	0
13233	5
13237	0
13239	0
13241	0
13243	1
13247	30
13249	0
13251	2
13253	0
13255	18
13257	3
13259	0
13261	4
13263	0
13265	1
13267	4
13269	0
13273	1
13275	12
13277	13
13281	0
13283	0
13285	7
13287	0
13291	1
13293	8
13297	10
13299	12
13301	1
13303	1
13305	4
13307	0
13311	0
13313	9
13315	0
13317	4
13319	0
13321	0
15009	68
15001	69
15007	21
16001	12
16003	0
16005	0
16007	0
16009	0
16011	0
16013	0
16015	0
16017	2
16019	5
16021	0
16023	0
16025	0
16027	0
16029	0
16031	3
16033	0
16035	0
16037	0
16039	1
16041	0
16043	0
16045	0
16047	0
16049	0
16051	0
16053	0
16055	6
16057	0
16059	1
16061	0
16063	0
16065	0
16067	0
16069	1
16071	0
16073	0
16075	0
16077	0
16079	2
16081	0
16083	2
16085	0
16087	0
17003	0
17001	0
17005	0
17007	2
17009	0
17011	1
17015	0
17017	0
17019	12
17023	0
17025	1
17027	0
17029	2
17031	22
17033	0
17035	0
17037	3
17039	1
17041	0
17043	20
17049	1
17051	0
