id	rate
01001	73
01003	127
01007	0
01009	394
01013	51
01015	23
01017	1
01019	72
01021	151
01025	54
01027	2
01029	7
01031	28
01037	23
01039	19
01043	58
01045	38
01047	76
01049	162
01051	88
01053	3
01055	135
01059	45
01061	46
01063	42
01065	33
01067	13
01069	114
01073	693
01077	30
01079	70
01081	443
01083	120
01085	51
01089	341
01091	35
01093	31
01095	45
01097	151
01099	41
01101	117
01103	71
01109	21
01113	66
01117	111
01115	236
01121	120
01123	25
01125	185
01127	121
01129	42
01131	52
04003	212
04005	99
04009	5
04011	0
04012	38
04013	1146
04017	73
04019	652
04021	263
04025	226
04027	131
05007	95
05001	10
05003	22
05005	57
05009	179
05011	8
05013	4
05015	41
05017	3
05019	22
05021	6
05023	78
05025	10
05027	27
05029	21
05031	46
05033	89
05035	128
05037	26
05039	4
05043	18
05045	122
05047	52
05049	13
05051	357
05053	47
05055	25
05057	31
05059	44
05061	10
05063	152
05065	34
05067	25
05069	82
05071	29
05075	10
05077	9
05079	16
05081	11
05083	46
05085	104
05087	22
05089	51
05091	27
05093	42
05095	3
05101	26
05103	30
05105	46
05109	4
05111	6
05113	38
05115	78
05117	4
05119	375
05121	29
05125	158
05127	18
05129	11
05131	62
05133	27
05123	17
05137	26
05139	49
05141	39
05143	188
05145	158
05147	0
05149	32
06001	589
06003	6
06005	53
06007	183
06009	169
06011	31
06013	347
06015	115
06017	291
06019	1177
06021	34
06023	265
06025	161
06027	85
06029	2403
06031	157
06033	179
06035	43
06037	6124
06039	434
06041	72
06043	80
06045	346
06047	542
06049	19
06051	16
06053	286
06055	61
06057	80
06059	229
06061	261
06063	120
06065	841
06067	2797
06069	39
06071	924
06073	1422
06077	793
06079	356
06081	298
06083	265
06085	316
06087	285
06089	519
06091	14
06093	52
06095	92
06097	583
06099	470
06101	88
06103	163
06105	65
06107	350
06109	159
06111	171
06113	56
06115	210
08001	523
08003	6
08005	269
08007	19
08009	1
08011	7
08013	83
08015	0
08017	1
08019	15
08021	6
08025	5
08027	7
08029	16
08033	5
08035	326
08037	33
08041	390
08043	28
08045	39
08047	4
08051	3
08053	4
08057	0
08059	224
08063	5
08067	49
08065	6
08069	171
08073	1
08075	15
08077	180
08081	3
08083	21
08085	12
08087	10
08089	8
08093	16
08095	3
08097	5
08099	3
08101	35
08103	0
08105	2
08107	7
08109	4
08111	0
08113	7
08117	30
08119	6
08121	7
08123	102
10003	969
12001	519
12003	118
12005	375
12007	75
12009	756
12011	380
12013	17
12015	379
12017	338
12019	450
12021	941
12023	186
12027	99
12029	80
12033	1614
12035	221
12037	17
12039	69
12043	29
12045	37
12047	26
12049	50
12051	118
12053	412
12055	271
12057	1926
12059	64
12061	226
12063	94
12065	87
12067	13
12069	472
12071	1379
12073	394
12075	403
12077	2
12079	126
12081	1349
12083	679
12085	304
12086	6278
12087	179
12089	137
12091	585
12093	132
12095	5106
12097	835
12099	2005
12101	1391
12103	727
12105	1374
12107	265
12113	201
12115	494
12117	637
12109	346
12111	237
12119	237
12121	155
12123	182
12125	37
12127	609
12129	52
12131	175
12133	30
13245	845
13009	259
13011	57
13015	338
13017	29
13019	14
13021	756
13023	12
13025	40
13027	35
13029	93
13031	28
13033	55
13035	90
13037	4
13039	25
13045	165
13047	74
13049	12
13055	26
13057	123
13059	0
13061	4
13063	6
13063	1504
13065	8
13067	79
13067	1262
13069	65
13073	65
13075	12
13077	116
13079	23
13081	13
13085	24
13087	48
13089	0
13089	3452
13091	22
13093	6
13095	1
13095	44
13097	235
13099	15
13101	3
13103	41
13105	27
13107	10
13109	7
13111	19
13113	33
13115	16
13115	84
13119	9
13121	11
13121	1067
13123	65
13125	4
13127	0
13127	201
13129	106
13131	30
13133	15
13135	1738
13137	50
13139	215
13141	19
13143	125
13145	41
13147	51
13149	20
13151	0
13151	334
13153	127
13155	6
13157	105
13159	56
13161	25
13163	28
13169	21
13171	18
13173	28
13175	84
13177	40
13179	99
13181	25
13183	7
13185	91
13187	12
13195	58
13197	2
13189	31
13191	23
13199	43
13201	2
13205	36
13207	22
13217	364
13219	39
13221	46
13223	185
13225	26
13227	64
13229	50
13231	12
13233	0
13233	39
13237	34
13239	5
13241	14
13243	15
13247	171
13249	2
13251	13
13253	21
13255	147
13257	35
13259	0
13261	33
13263	6
13265	2
13267	29
13269	9
13273	10
13275	63
13277	95
13281	39
13283	2
13285	42
13287	7
13291	21
13293	30
13297	73
13299	82
13301	10
13303	14
13305	149
13307	1
13311	30
13313	204
13315	12
13317	30
13319	13
13321	36
15009	450
15001	467
15007	169
16001	202
16003	4
16005	5
16007	2
16009	18
16011	41
16013	5
16015	14
16017	63
16019	151
16021	6
16023	0
16025	0
16027	93
16029	1
16031	49
16033	3
16035	14
16037	2
16039	14
16041	2
16043	6
16045	19
16047	12
16049	24
16051	17
16053	31
16055	103
16057	32
16059	7
16061	2
16063	2
16065	15
16067	18
16069	8
16071	5
16073	18
16075	13
16077	0
16079	47
16081	6
16083	34
16085	11
16087	8
17003	9
17001	26
17005	0
17007	28
17009	10
17011	25
17015	0
17017	4
17019	110
17023	5
17025	6
17027	9
17029	25
17031	167
17033	4
17035	3
17037	34
17039	9
17041	4
17043	73
17049	18
17051	8
17053	19
17055	30
17057	14
17059	4
17061	4
17063	11
17065	4
17067	7
17069	6
17073	4
17075	18
17077	21
17081	42
17083	11
17085	5
17087	34
17089	80
17091	45
17093	36
17095	38
17099	41
17097	90
17103	42
17105	22
17107	7
17115	28
17117	10
17119	119
17121	22
17123	7
17125	16
17127	9
17109	5
17111	74
17113	20
17129	4
17131	15
17133	3
17135	1
17137	19
17141	13
17143	101
17145	10
17147	22
17149	6
17155	1
17157	0
17159	13
17161	41
17167	151
17169	6
17171	0
17163	99
17175	0
17177	9
17179	40
17181	24
17183	81
17185	0
17187	9
17189	18
17193	21
17195	28
17197	128
17199	9
17201	134
17203	4
18003	156
18005	32
18009	1
18013	45
18019	99
18023	14
18025	21
18027	0
18033	7
18035	43
18043	33
18047	2
18051	12
18053	35
18055	1
18067	72
18069	6
18071	24
18075	5
18079	17
18083	9
18085	62
18091	29
18087	40
18089	62
18093	129
18095	46
18103	10
18113	17
18145	36
18141	148
18151	22
18153	6
18157	45
18163	55
18169	3
18177	12
18179	1
18181	0
19013	29
19001	10
19003	0
19005	4
19007	10
19009	2
19015	13
19017	11
19019	8
19021	8
19023	2
19025	5
19027	2
19029	17
19031	6
19033	1
19035	2
19037	11
19039	8
19041	12
19043	7
19045	12
19047	1
19049	43
19055	18
19059	12
19061	20
19063	17
19065	12
19067	6
19071	27
19075	9
19077	0
19081	19
19083	10
19085	4
19087	19
19089	2
19091	0
19093	11
19095	8
19097	2
19099	24
19101	3
19103	91
19107	9
19109	6
19111	28
19113	23
19115	23
19117	6
19119	14
19121	4
19123	11
19127	34
19129	18
19131	0
19135	3
19139	24
19141	13
19143	7
19145	5
19147	13
19149	8
19151	9
19153	91
19155	65
19159	2
19161	3
19163	58
19167	7
19169	16
19171	30
19173	3
19175	7
19177	7
19179	18
19181	42
19183	34
19185	5
19187	19
19191	5
19193	25
19195	3
19197	4
20015	46
20001	15
20003	2
20007	2
20011	25
20013	5
20019	0
20021	32
20027	1
20029	9
20031	7
20035	20
20037	24
20041	17
20043	2
20047	2
20051	9
20053	0
20055	34
20057	14
20059	37
20061	14
20063	0
20067	5
20069	6
20073	19
20075	3
20077	6
20079	13
20081	3
20085	13
20087	30
20091	40
20095	2
20097	1
20099	15
20103	36
20107	6
20109	1
20111	28
20115	4
20117	5
20121	29
20125	13
20127	2
20129	9
20131	6
20133	25
20135	2
20137	0
20139	15
20141	4
20143	1
20145	2
20147	11
20149	43
20151	4
20153	2
20157	1
20159	10
20161	193
20163	1
20165	3
20167	8
20169	25
20171	4
20173	24
20177	78
20181	0
20183	1
20191	20
20193	0
20195	7
20197	10
20201	4
20203	1
20205	5
20207	5
20209	27
21003	14
21015	62
21017	4
21019	12
21023	0
21029	33
21031	3
21037	0
21037	15
21047	21
21049	14
21059	26
21061	5
21067	0
21077	2
21081	5
21089	2
21091	1
21093	13
21101	11
21103	0
21111	0
21113	8
21117	10
21117	8
21123	2
21149	4
21163	11
21185	3
21185	30
21191	5
21209	11
21211	23
21215	3
21221	5
21223	2
21227	36
21239	0
21001	0
21005	2
21007	4
21009	12
21011	1
21013	12
21021	7
21025	0
21027	7
21033	3
21035	15
21039	1
21041	2
21043	5
21051	11
21053	4
21055	0
21057	0
21063	0
21065	1
21069	5
21071	4
21073	16
21075	0
21079	2
21083	21
21085	8
21087	0
21095	4
21097	2
21099	2
21107	17
21109	3
21115	5
21119	0
21121	9
21125	34
21127	2
21131	3
21133	6
21135	0
21137	3
21139	1
21141	16
21143	1
21151	22
21153	3
21155	5
21157	13
21159	4
21161	9
21145	61
21147	2
21165	1
21167	1
21169	7
21171	1
21173	10
21175	0
21177	12
21177	0
21179	19
21181	1
21183	18
21187	0
21189	6
21193	1
21195	4
21197	0
21199	25
21201	0
21203	4
21205	8
21207	5
21213	7
21217	6
21219	5
21225	2
21229	3
21231	5
21233	1
21235	7
21237	2
22001	107
22005	360
22015	85
22017	81
22019	523
22023	19
22031	68
22033	397
22037	95
22043	5
22045	136
22047	285
22051	1590
22055	309
22057	320
22063	297
22073	457
22075	38
22077	89
22079	379
22087	135
22089	175
